model,window,date,horizon_min,ridge_alpha,pca_n,n_features,rmse,mae,r2,dir_acc,n,train_time_s
linear,expanding,2026-04-17,60,10.0,30,163.0,1.7153544001682768,0.03568445963496478,-203871.09810075664,0.512112676056338,3550,51.564
linear,fixed120,2026-04-17,60,10.0,30,163.0,0.7989990634157005,0.02535860857588723,-44231.614566619915,0.5507042253521127,3550,49.347
linear,fixed240,2026-04-17,60,10.0,30,163.0,1.3100527486264442,0.028430871527723896,-123635.15560093941,0.5355685131195336,3430,65.217
linear,fixed300,2026-04-17,60,10.0,30,163.0,1.3821904821588877,0.030147813496750754,-139249.7681483458,0.5320474777448071,3370,67.597
lstm,expanding,2026-04-17,60,10.0,30,,0.004177626498711608,0.002954886888512556,-0.20923104660816483,0.5664788732394366,3550,1112.2773515999952
lstm,fixed120,2026-04-17,60,10.0,30,,0.004027290963038547,0.002818177497369203,-0.1237665111127324,0.5245070422535211,3550,545.9526265000003
lstm,fixed240,2026-04-17,60,10.0,30,,0.0038493454983699106,0.0026810355653284702,-0.06743567436500952,0.5623906705539359,3430,535.5687510999988
lstm,fixed300,2026-04-17,60,10.0,30,,0.0038282586460910827,0.002640639161777767,-0.06822895965957798,0.5667655786350149,3370,483.6268792999999
rf,expanding,2026-04-17,60,10.0,30,163.0,0.0036574484370209795,0.002494214433850093,0.0731563158807752,0.5805633802816902,3550,6790.905
rf,fixed120,2026-04-17,60,10.0,30,163.0,0.0033512637556676397,0.002313155619496898,0.22184289026743542,0.6442253521126761,3550,888.336
rf,fixed240,2026-04-17,60,10.0,30,163.0,0.0034709317119139688,0.0023649139647094895,0.13211922970320056,0.6198250728862974,3430,885.202
rf,fixed300,2026-04-17,60,10.0,30,163.0,0.0034687796331568078,0.0023715438946550877,0.12296843427577198,0.6077151335311572,3370,855.3
