model,window,date,rmse,mae,r2,dir_acc,n
linear,expanding,2026-04-17,0.03696254995960474,0.002261775256104245,-1124.5618916041822,0.5118243243243243,3552
linear,fixed120,2026-04-17,0.07525519392665439,0.005638285517112738,-4664.718042207837,0.4994369369369369,3552
linear,fixed240,2026-04-17,0.05510652944752287,0.003201175571185522,-2556.625652909998,0.4965034965034965,3432
linear,fixed300,2026-04-17,0.061611554117853566,0.0029877195542751165,-3254.885686537765,0.4890272835112693,3372
lstm,expanding,2026-04-17,0.0011546888944400523,0.0007761107214941054,-0.09843790042286527,0.49239864864864863,3552
lstm,fixed120,2026-04-17,0.001185554401874993,0.0008094369395816917,-0.1579465318756632,0.5019707207207207,3552
lstm,fixed240,2026-04-17,0.0011749737904789982,0.0007993213811586137,-0.162752325005171,0.502039627039627,3432
lstm,fixed300,2026-04-17,0.0011566734984319344,0.0007828466200902505,-0.14753619133776774,0.4872479240806643,3372
rf,expanding,2026-04-17,0.0011498389591258736,0.0007735857167546114,-0.08922994009635432,0.4780405405405405,3552
rf,fixed120,2026-04-17,0.001162504506078503,0.0007881621545751568,-0.11335796783824503,0.4912725225225225,3552
rf,fixed240,2026-04-17,0.001140757389722702,0.0007696583582471453,-0.09601737714717284,0.48572261072261075,3432
rf,fixed300,2026-04-17,0.0011338580765387937,0.0007631120343188741,-0.10271229471740306,0.48368920521945435,3372
