dataset,model,window,rmse,r2,dir_acc,n_features,train_time_s
poly,linear,expanding,1.715354400168321,-203871.09810076715,0.512112676056338,163,43.907
poly+trad,linear,expanding,1.6744726361279685,-194269.1968105359,0.527887323943662,194,51.731
trad,linear,expanding,0.003938489826708997,-0.07475512957047159,0.5416901408450704,31,25.697
poly,linear,fixed120,0.798999063415698,-44231.61456661966,0.5507042253521127,163,17.998
poly+trad,linear,fixed120,0.5660150903526836,-22196.603541244374,0.6323943661971831,194,15.544
trad,linear,fixed120,0.021109580332470877,-29.875163738351215,0.6569014084507042,31,7.063
poly,linear,fixed240,1.3100527486264444,-123635.15560093946,0.5355685131195336,163,21.158
poly+trad,linear,fixed240,1.0633957848508964,-81461.51165327885,0.5787172011661808,194,21.453
trad,linear,fixed240,0.004101846309132777,-0.21206718895859233,0.5935860058309038,31,13.073
poly,linear,fixed300,1.3821904821588875,-139249.76814834573,0.5320474777448071,163,21.8
poly+trad,linear,fixed300,1.2208504446826893,-108638.2440225161,0.568545994065282,194,22.099
trad,linear,fixed300,0.004594164905962301,-0.5384201634624743,0.568545994065282,31,15.776
poly,lstm,expanding,0.004173470020720169,-0.20682602457749222,0.5735211267605633,163,1366.15
poly+trad,lstm,expanding,0.003984403106506592,-0.09995928651052677,0.5791549295774648,194,1466.87
trad,lstm,expanding,0.004477361285556856,-0.38897474744678884,0.5383098591549296,31,3509.087
poly,lstm,fixed120,0.004084155553033114,-0.15572529843770044,0.523661971830986,163,693.238
poly+trad,lstm,fixed120,0.00397736061947867,-0.09607433670887189,0.5487323943661971,194,841.765
trad,lstm,fixed120,0.0039194411289100745,-0.06438405943997072,0.5515492957746478,31,756.45
poly,lstm,fixed240,0.003827923399267576,-0.05558790194586538,0.5615160349854227,163,828.29
poly+trad,lstm,fixed240,0.0037096521741810974,0.008633340306774873,0.5548104956268222,194,1595.914
trad,lstm,fixed240,0.0036440488972722587,0.04338691099864289,0.5705539358600583,31,875.959
poly,lstm,fixed300,0.0037898625211697317,-0.04690847488273442,0.5694362017804154,163,967.372
poly+trad,lstm,fixed300,0.003788839637532339,-0.046343430093085614,0.5620178041543027,194,2467.579
trad,lstm,fixed300,0.0037846499109258458,-0.044030601123100865,0.5605341246290801,31,781.053
poly,rf,expanding,0.0036574484370209795,0.0731563158807752,0.5805633802816902,163,9373.079
poly+trad,rf,expanding,0.0032641652296269055,0.26176549674752725,0.6619718309859155,194,21947.578
trad,rf,expanding,0.0031736934382540346,0.30212117942211236,0.6738028169014084,31,3089.8
poly,rf,fixed120,0.0033512637556676406,0.2218428902674352,0.6442253521126761,163,1710.135
poly+trad,rf,fixed120,0.0028448127922275812,0.43926527092576717,0.7194366197183099,194,944.798
trad,rf,fixed120,0.0027984613807403337,0.4573888590929621,0.7290140845070423,31,925.872
poly,rf,fixed240,0.0034709317119139688,0.13211922970320056,0.6198250728862974,163,24744.252
poly+trad,rf,fixed240,0.002830662130256652,0.4227765095097008,0.7236151603498542,194,1273.754
trad,rf,fixed240,0.002759395858072387,0.45147560983010804,0.7276967930029155,31,859.055
poly,rf,fixed300,0.0034687796331568078,0.12296843427577209,0.6077151335311572,163,720.138
poly+trad,rf,fixed300,0.0029713394665041274,0.3564736322195814,0.7032640949554896,194,1269.968
trad,rf,fixed300,0.0028737367311142893,0.398056455231375,0.7109792284866469,31,770.443
