dataset,model,window,date,horizon_min,ridge_alpha,pca_applied,pca_n,n_features,rmse,mae,r2,dir_acc,n,train_time_s
poly,linear,expanding,2026-04-23,60,10.0,True,30,163,1.7153544001682768,0.03568445963496478,-203871.09810075664,0.512112676056338,3550,51.979
poly,linear,fixed120,2026-04-23,60,10.0,True,30,163,0.7989990634157005,0.02535860857588723,-44231.614566619915,0.5507042253521127,3550,48.714
poly,linear,fixed240,2026-04-23,60,10.0,True,30,163,1.3100527486264442,0.028430871527723896,-123635.15560093941,0.5355685131195336,3430,66.269
poly,linear,fixed300,2026-04-23,60,10.0,True,30,163,1.3821904821588877,0.030147813496750754,-139249.7681483458,0.5320474777448071,3370,66.883
poly,lstm,expanding,2026-04-23,60,10.0,True,30,163,0.004233836207239847,0.0030341840872437614,-0.241990219462086,0.5777464788732395,3550,1220.864
poly,lstm,fixed120,2026-04-23,60,10.0,True,30,163,0.004091996818426838,0.002850641044876542,-0.16016736641321372,0.5292957746478874,3550,583.462
poly,lstm,fixed240,2026-04-23,60,10.0,True,30,163,0.003909980399113906,0.0027317373274627363,-0.10132903175389218,0.5507288629737609,3430,598.634
poly,lstm,fixed300,2026-04-23,60,10.0,True,30,163,0.003794194162975774,0.0026132047410388354,-0.04930298077628548,0.5756676557863502,3370,552.428
poly,rf,expanding,2026-04-23,60,10.0,True,30,163,0.0036574484370209795,0.002494214433850093,0.0731563158807752,0.5805633802816902,3550,9035.077
poly,rf,fixed120,2026-04-23,60,10.0,True,30,163,0.0033512637556676406,0.002313155619496898,0.2218428902674352,0.6442253521126761,3550,814.733
poly,rf,fixed240,2026-04-23,60,10.0,True,30,163,0.0034709317119139688,0.0023649139647094895,0.13211922970320056,0.6198250728862974,3430,802.359
poly,rf,fixed300,2026-04-23,60,10.0,True,30,163,0.0034687796331568078,0.0023715438946550877,0.12296843427577198,0.6077151335311572,3370,895.438
trad,linear,expanding,2026-04-23,60,10.0,True,5,25,0.003880234257691937,0.0026403857386562025,-0.04319611697374803,0.5377464788732395,3550,12.254
trad,linear,fixed120,2026-04-23,60,10.0,True,5,25,0.026220207516384667,0.0032407556647912144,-46.63457772980915,0.6411267605633802,3550,7.645
trad,linear,fixed240,2026-04-23,60,10.0,True,5,25,0.004139699616253649,0.0027215967838113806,-0.23454119216911073,0.5895043731778425,3430,7.089
trad,linear,fixed300,2026-04-23,60,10.0,True,5,25,0.004149392832486701,0.0027309188596374447,-0.25496296109697747,0.5587537091988131,3370,8.142
trad,lstm,expanding,2026-04-23,60,10.0,True,5,25,0.004421954049333147,0.003151163330970955,-0.3548103981196298,0.5267605633802817,3550,1521.569
trad,lstm,fixed120,2026-04-23,60,10.0,True,5,25,0.00398633927304013,0.00280052164341758,-0.10102856677775707,0.5298591549295775,3550,662.477
trad,lstm,fixed240,2026-04-23,60,10.0,True,5,25,0.003951855459550366,0.0027608649814609906,-0.12504535419360652,0.5483965014577259,3430,850.076
trad,lstm,fixed300,2026-04-23,60,10.0,True,5,25,0.003968779663758222,0.0027482664495081816,-0.148089594426295,0.5504451038575667,3370,603.637
trad,rf,expanding,2026-04-23,60,10.0,True,5,25,0.0033250125518456755,0.0023050335674980817,0.2339861028187865,0.6476056338028169,3550,3464.726
trad,rf,fixed120,2026-04-23,60,10.0,True,5,25,0.0028827612169694855,0.001987010634877372,0.424205632907108,0.7253521126760564,3550,956.268
trad,rf,fixed240,2026-04-23,60,10.0,True,5,25,0.002855221323621984,0.001975221479591245,0.41271692648932745,0.7128279883381924,3430,944.633
trad,rf,fixed300,2026-04-23,60,10.0,True,5,25,0.0030177985125685158,0.002089325135169118,0.3361923032150904,0.684272997032641,3370,951.883
