2026-04-20T09:07:42  linear   fixed120    data=2026-04-17  rmse=7.52552e-02  mae=5.63829e-03  r2=-4664.7180  dir_acc=0.499
2026-04-20T09:07:59  linear   fixed240    data=2026-04-17  rmse=5.51065e-02  mae=3.20118e-03  r2=-2556.6257  dir_acc=0.497
2026-04-20T09:08:13  linear   fixed300    data=2026-04-17  rmse=6.16116e-02  mae=2.98772e-03  r2=-3254.8857  dir_acc=0.489
2026-04-20T09:08:50  linear   expanding   data=2026-04-17  rmse=3.69625e-02  mae=2.26178e-03  r2=-1124.5619  dir_acc=0.512
2026-04-20T09:25:09  rf       fixed120    data=2026-04-17  rmse=1.16250e-03  mae=7.88162e-04  r2=-0.1134  dir_acc=0.491
2026-04-20T09:42:19  rf       fixed240    data=2026-04-17  rmse=1.14076e-03  mae=7.69658e-04  r2=-0.0960  dir_acc=0.486
2026-04-20T10:04:34  rf       fixed300    data=2026-04-17  rmse=1.13386e-03  mae=7.63112e-04  r2=-0.1027  dir_acc=0.484
2026-04-20T12:52:02  rf       expanding   data=2026-04-17  rmse=1.14984e-03  mae=7.73586e-04  r2=-0.0892  dir_acc=0.478
2026-04-20T13:05:03  lstm     fixed120    data=2026-04-17  rmse=1.18555e-03  mae=8.09437e-04  r2=-0.1579  dir_acc=0.502
2026-04-21T08:46:30  lstm     fixed240    data=2026-04-17  rmse=1.17497e-03  mae=7.99321e-04  r2=-0.1628  dir_acc=0.502  train_time=605.0s
2026-04-21T09:00:12  lstm     fixed300    data=2026-04-17  rmse=1.15667e-03  mae=7.82847e-04  r2=-0.1475  dir_acc=0.487  train_time=546.7s
2026-04-21T09:28:28  lstm     expanding   data=2026-04-17  rmse=1.15469e-03  mae=7.76111e-04  r2=-0.0984  dir_acc=0.492  train_time=1350.4s
2026-04-21T14:40:18  linear   fixed120    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=7.98999e-01  mae=2.53586e-02  r2=-44231.6146  dir_acc=0.551  train_time=49.3s
2026-04-21T14:41:29  linear   fixed240    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=1.31005e+00  mae=2.84309e-02  r2=-123635.1556  dir_acc=0.536  train_time=65.2s
2026-04-21T14:42:43  linear   fixed300    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=1.38219e+00  mae=3.01478e-02  r2=-139249.7681  dir_acc=0.532  train_time=67.6s
2026-04-21T14:43:40  linear   expanding   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=1.71535e+00  mae=3.56845e-02  r2=-203871.0981  dir_acc=0.512  train_time=51.6s
2026-04-22T15:46:29  rf       fixed120    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.35126e-03  mae=2.31316e-03  r2=+0.2218  dir_acc=0.644  train_time=888.3s
2026-04-22T16:03:17  rf       fixed240    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.47093e-03  mae=2.36491e-03  r2=+0.1321  dir_acc=0.620  train_time=885.2s
2026-04-22T16:19:32  rf       fixed300    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.46878e-03  mae=2.37154e-03  r2=+0.1230  dir_acc=0.608  train_time=855.3s
2026-04-22T18:15:03  rf       expanding   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.65745e-03  mae=2.49421e-03  r2=+0.0732  dir_acc=0.581  train_time=6790.9s
2026-04-22T21:09:01  lstm     fixed120    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=4.02729e-03  mae=2.81818e-03  r2=-0.1238  dir_acc=0.525  train_time=546.0s
2026-04-22T21:22:09  lstm     fixed240    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.84935e-03  mae=2.68104e-03  r2=-0.0674  dir_acc=0.562  train_time=535.6s
2026-04-22T21:34:25  lstm     fixed300    h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.82826e-03  mae=2.64064e-03  r2=-0.0682  dir_acc=0.567  train_time=483.6s
2026-04-22T21:57:21  lstm     expanding   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=4.17763e-03  mae=2.95489e-03  r2=-0.2092  dir_acc=0.566  train_time=1112.3s
2026-04-23T12:38:39  linear   fixed120    poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=7.98999e-01  mae=2.53586e-02  r2=-44231.6146  dir_acc=0.551  train_time=50.1s
2026-04-23T12:39:51  linear   fixed240    poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=1.31005e+00  mae=2.84309e-02  r2=-123635.1556  dir_acc=0.536  train_time=65.7s
2026-04-23T12:41:12  linear   fixed300    poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=1.38219e+00  mae=3.01478e-02  r2=-139249.7681  dir_acc=0.532  train_time=74.3s
2026-04-23T12:42:18  linear   expanding   poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=1.71535e+00  mae=3.56845e-02  r2=-203871.0981  dir_acc=0.512  train_time=59.9s
2026-04-23T13:00:28  rf       fixed120    poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.35126e-03  mae=2.31316e-03  r2=+0.2218  dir_acc=0.644  train_time=940.9s
2026-04-23T13:22:10  rf       fixed240    poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.47093e-03  mae=2.36491e-03  r2=+0.1321  dir_acc=0.620  train_time=1126.8s
2026-04-23T13:44:11  rf       fixed300    poly   h=60m  α=10  pca=30  f=163  data=2026-04-17  rmse=3.46878e-03  mae=2.37154e-03  r2=+0.1230  dir_acc=0.608  train_time=1147.9s
2026-04-24T08:50:51  lstm     fixed120    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-17  rmse=4.18913e-03  mae=2.88916e-03  r2=-0.2159  dir_acc=0.522  train_time=520.0s
2026-04-24T09:05:14  lstm     fixed240    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-17  rmse=3.87218e-03  mae=2.67926e-03  r2=-0.0801  dir_acc=0.556  train_time=590.6s
2026-04-24T09:18:58  lstm     fixed300    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-17  rmse=3.81450e-03  mae=2.66534e-03  r2=-0.0606  dir_acc=0.557  train_time=547.5s
2026-04-24T20:30:23  linear   fixed120    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=7.98999e-01  mae=2.53586e-02  r2=-44231.6146  dir_acc=0.551  train_time=48.7s
2026-04-24T20:31:35  linear   fixed240    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.31005e+00  mae=2.84309e-02  r2=-123635.1556  dir_acc=0.536  train_time=66.3s
2026-04-24T20:32:47  linear   fixed300    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.38219e+00  mae=3.01478e-02  r2=-139249.7681  dir_acc=0.532  train_time=66.9s
2026-04-24T20:33:45  linear   expanding   poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=1.71535e+00  mae=3.56845e-02  r2=-203871.0981  dir_acc=0.512  train_time=52.0s
2026-04-24T20:49:46  rf       fixed120    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=3.35126e-03  mae=2.31316e-03  r2=+0.2218  dir_acc=0.644  train_time=814.7s
2026-04-24T21:05:29  rf       fixed240    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=3.47093e-03  mae=2.36491e-03  r2=+0.1321  dir_acc=0.620  train_time=802.4s
2026-04-24T21:22:46  rf       fixed300    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=3.46878e-03  mae=2.37154e-03  r2=+0.1230  dir_acc=0.608  train_time=895.4s
2026-04-24T23:56:02  rf       expanding   poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=3.65745e-03  mae=2.49421e-03  r2=+0.0732  dir_acc=0.581  train_time=9035.1s
2026-04-25T00:10:34  lstm     fixed120    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=4.09200e-03  mae=2.85064e-03  r2=-0.1602  dir_acc=0.529  train_time=583.5s
2026-04-25T00:25:13  lstm     fixed240    poly   h=60m  alpha=10  pca=30  f=163  data=2026-04-23  rmse=3.90998e-03  mae=2.73174e-03  r2=-0.1013  dir_acc=0.551  train_time=598.6s
