dataset,model,window,date,horizon_min,n_features,rmse,mae,r2,dir_acc,n,train_time_s
ar_only,linear,fixed120,2026-05-07,10,13,0.0014470108476647718,0.0009939569444916486,-0.18934563259422088,0.5159680638722555,7014,18.375273399346042
ar_only,linear,fixed240,2026-05-07,10,13,0.0013744485772142683,0.0009360165329782456,-0.07260305068021378,0.5175514940527995,6894,18.878515499527566
ar_only,linear,fixed300,2026-05-07,10,13,0.001354295795649858,0.000920692022810136,-0.07707146681239507,0.5076090137547556,6834,18.62390260171378
ar_only,rf,fixed120,2026-05-07,10,13,0.0013704894255516294,0.0009445574401444569,-0.06688076766979778,0.5320786997433704,7014,1902.5332574985805
ar_only,rf,fixed240,2026-05-07,10,13,0.001367558552718073,0.0009374170737702481,-0.06187622108766533,0.5168262257035103,6894,1885.9625541985733
ar_only,rf,fixed300,2026-05-07,10,13,0.0013506529872527294,0.0009308414551737244,-0.07128500840424734,0.5115598478197249,6834,1849.9870400004438
bloomberg_only,linear,fixed120,2026-05-07,10,18,0.017265180376871934,0.001507067381468687,-168.3194107261966,0.5152552038779584,7014,18.0062044034712
bloomberg_only,linear,fixed240,2026-05-07,10,18,0.004024393767465874,0.0011091785167449645,-8.195661395636842,0.5155207426747896,6894,17.925540398980957
bloomberg_only,linear,fixed300,2026-05-07,10,18,0.0018121618237443525,0.0009641418292334513,-0.928463460708042,0.5007316359379572,6834,18.271182999305893
bloomberg_only,rf,fixed120,2026-05-07,10,18,0.0013952098754688356,0.0009599693886059807,-0.1057159938683725,0.5149700598802395,7014,1605.5116593007697
bloomberg_only,rf,fixed240,2026-05-07,10,18,0.001379455474217837,0.0009416041673448769,-0.08043192819338163,0.5158108500145053,6894,1885.2483780984185
bloomberg_only,rf,fixed300,2026-05-07,10,18,0.0013550701496625093,0.0009265422686194065,-0.07830350645315964,0.5212174422007609,6834,1851.7412048994447
trad,linear,fixed120,2026-05-07,10,31,0.01798187898484359,0.0016542323140793722,-182.66848750121633,0.5295124037639007,7014,24.78454059996875
trad,linear,fixed240,2026-05-07,10,31,0.007108626281602362,0.0012529005113874547,-27.691509751159114,0.5139251523063534,6894,22.52028709766455
trad,linear,fixed300,2026-05-07,10,31,0.0018736376600401333,0.001008579727455285,-1.0615253271147118,0.5029265437518291,6834,23.031838099705055
trad,rf,fixed120,2026-05-07,10,31,0.0013686783466619233,0.0009387227616898859,-0.06406290054629693,0.5275163957798689,7014,1803.9770545030478
trad,rf,fixed240,2026-05-07,10,31,0.0013588948706337689,0.0009231265828825198,-0.04846455827800322,0.5307513780098636,6894,2072.9222734009963
trad,rf,fixed300,2026-05-07,10,31,0.00134067468649367,0.0009159067934612394,-0.05551468398188675,0.5295580918934738,6834,1697.4861335031455
