dataset,model,window,date,horizon_min,ridge_alpha,pca_applied,pca_n,n_features,rmse,mae,r2,dir_acc,n,train_time_s
poly,linear,expanding,2026-04-23,5,10.0,False,,163,0.07150880018896372,0.002631595220745097,-4216.455347076873,0.509126649817467,3561,50.928196800581645
poly,linear,fixed120,2026-04-23,5,10.0,False,,163,0.12596599745814432,0.006049518076566074,-13085.941783507356,0.4875035102499298,3561,48.810499801678816
poly,linear,fixed240,2026-04-23,5,10.0,False,,163,0.07012615583054402,0.0024896281670372996,-4145.503792503177,0.5027608253414705,3441,63.56395849995897
poly,linear,fixed300,2026-04-23,5,10.0,False,,163,0.06865192405247528,0.0026950227033786,-4046.070199809222,0.5066548358473825,3381,66.57643109979108
poly,lstm,expanding,2026-04-23,5,10.0,False,,163,0.001140574538187268,0.0007697661475639362,-0.07294844619686747,0.4953664700926706,3561,1014.6498224002717
poly,lstm,fixed120,2026-04-23,5,10.0,False,,163,0.0011382623192904466,0.0007671067753512149,-0.06860260660884099,0.4995787700084246,3561,516.2489758999436
poly,lstm,fixed240,2026-04-23,5,10.0,False,,163,0.001121611140191386,0.0007523291532722389,-0.060734343931746704,0.4986922406277245,3441,545.0323368996906
poly,lstm,fixed300,2026-04-23,5,10.0,False,,163,0.0011192905148238355,0.0007509264771974485,-0.07577378709631577,0.4954155575273588,3381,487.0210000000952
poly,rf,expanding,2026-04-23,5,10.0,False,,163,0.0011261908153404705,0.0007524682356085023,-0.04605729572563977,0.4976130300477394,3561,8910.152155499876
poly,rf,fixed120,2026-04-23,5,10.0,False,,163,0.0011479280068807138,0.0007787578352096974,-0.08682798892185217,0.4953664700926706,3561,824.4882838997582
poly,rf,fixed240,2026-04-23,5,10.0,False,,163,0.0011227697376033172,0.0007590651846380072,-0.06292690205954998,0.4952048823016565,3441,809.9633492996509
poly,rf,fixed300,2026-04-23,5,10.0,False,,163,0.0011199767797044698,0.0007534941005549951,-0.07709335888643154,0.48920437740313516,3381,878.8570234999352
trad,linear,expanding,2026-04-23,5,10.0,False,,25,0.0011336369569002163,0.0007435945930447794,-0.05993565546417834,0.5096882898062342,3561,8.8296199014585
trad,linear,fixed120,2026-04-23,5,10.0,False,,25,0.00466105422384881,0.0009402490012165874,-16.91842449967952,0.4827295703454086,3561,6.6511917996103875
trad,linear,fixed240,2026-04-23,5,10.0,False,,25,0.0011810642429337422,0.0007825981736035932,-0.17616714777913556,0.4946236559139785,3441,6.537357999186497
trad,linear,fixed300,2026-04-23,5,10.0,False,,25,0.0011341912782323813,0.000750507915804181,-0.10460732165243058,0.4971901804199941,3381,6.540900599764427
trad,lstm,expanding,2026-04-23,5,10.0,False,,25,0.0011234768168282283,0.0007466267715635811,-0.04102160005820976,0.506318449873631,3561,1386.844920800242
trad,lstm,fixed120,2026-04-23,5,10.0,False,,25,0.0011491237535828365,0.0007808225585495773,-0.08909337112183935,0.4869418702611626,3561,573.9495265003061
trad,lstm,fixed240,2026-04-23,5,10.0,False,,25,0.0011347136238419441,0.0007619648079786864,-0.08566175861417835,0.4920081371694275,3441,737.2954469996912
trad,lstm,fixed300,2026-04-23,5,10.0,False,,25,0.001104578988023317,0.0007393877419096825,-0.04768051294233211,0.4968944099378882,3381,717.4858033999335
trad,rf,expanding,2026-04-23,5,10.0,False,,25,0.00113263323981526,0.0007553204019020042,-0.05805956180904892,0.4953664700926706,3561,4065.2238407002587
trad,rf,fixed120,2026-04-23,5,10.0,False,,25,0.00116373897962123,0.0007865780238907467,-0.1169729946856779,0.4835720303285594,3561,813.8396979000536
trad,rf,fixed240,2026-04-23,5,10.0,False,,25,0.0011384422233997316,0.0007657747650203422,-0.09280831719021188,0.4798023830281895,3441,807.0477276004385
trad,rf,fixed300,2026-04-23,5,10.0,False,,25,0.001125927865275598,0.0007529778597687549,-0.0885702118936933,0.48269742679680566,3381,807.1223124008102
